X	M	Y
0.027813876	0.010933229	0.143305184
0.024925889	0.011376896	0.154082187
0.022703291	0.012266176	0.158322295
0.026326025	0.01317402	0.152778996
0.026521466	0.008093525	0.138852061
0.031337771	0.003428824	0.134542492
0.031668688	0.00542204	0.138888981
0.032275645	0.006935414	0.139874859
0.026600193	0.009275237	0.142202039
0.029672644	0.004867624	0.134301323
0.029973054	0.007425743	0.144717291
0.027505122	0.007750632	0.145304642
0.026982454	0.006869901	0.143464668
0.023344098	0.010997854	0.15653886
0.024852272	0.013189132	0.158908668
0.027034479	0.006829494	0.134598817
0.026656161	0.012703708	0.139885002
0.027776768	0.003663004	0.141110248
0.028136635	0.002766252	0.153622328
0.035268983	0.005665722	0.144633493
0.030399428	0.012880199	0.151206448
0.025984429	0.014122759	0.149513223
0.029116843	0.009025271	0.154266624


