"","CHFB","CHFCD4","CHFCD8","CHFgama","CHFMONO","CHFNK","PWSB","PWSCD4","PWSCD8","PWSGAMA","PWSMONO","PWSNK"
"A2M-AS1",0.30256789712363,0.30256789712363,1.65549395635869,0.30256789712363,0.30256789712363,0.30256789712363,0.30256789712363,0.30256789712363,-0.278676849876693,-2.2446048109935,0.30256789712363,-1.55275547247754
"AC004687.1",0.942055881284778,0.524682521143123,0.789703920808939,1.18785629932806,0.778646674425041,1.02652569921953,-0.52532917505313,-1.7780841810242,-0.52532917505313,-0.52532917505313,-1.37007011497276,-0.52532917505313
"AC008875.3",-0.399188204792967,-0.399188204792967,-0.399188204792967,-0.399188204792967,-0.399188204792967,-0.399188204792967,-0.399188204792967,-0.399188204792967,1.14772919038489,-0.399188204792967,-0.399188204792967,2.84415285754478
"AC012615.1",-0.384274108262963,-0.384274108262963,-0.384274108262963,-0.384274108262963,-0.384274108262963,-0.384274108262963,-0.384274108262963,0.886961390368664,-0.384274108262963,-0.384274108262963,-0.384274108262963,2.95577969226097
"AC020656.1",-0.421667290236646,-0.421667290236646,-0.421667290236646,-0.421667290236646,2.51564578121941,-0.421667290236646,-0.421667290236646,-0.421667290236646,-0.421667290236646,-0.421667290236646,1.70102712114706,-0.421667290236646
"AC020916.1",-0.0319032521590855,-0.0319032521590855,-0.373270198107397,-1.40750729346864,-0.810875647194264,-1.14039965840043,0.535800098801127,0.353181301476713,0.905016166602359,0.578102576219866,-0.761366080627541,2.18512523901637
"AC025164.1",1.46367006701957,-0.526263574710741,-0.526263574710741,-0.526263574710741,-0.526263574710741,-0.526263574710741,-0.526263574710741,2.3469142972471,-0.526263574710741,-0.526263574710741,-0.526263574710741,0.925787808129996
"AC044849.1",-0.511934412472597,0.20605409599798,-0.58328608107851,-1.08795319101987,0.20605409599798,-1.94958413102475,0.20605409599798,0.75403812095271,0.20605409599798,0.20605409599798,0.20605409599798,2.14239511865514
"AC092821.3",-0.516089028343004,-0.516089028343004,-0.516089028343004,-0.516089028343004,-0.516089028343004,1.30975296502058,-0.516089028343004,-0.516089028343004,-0.516089028343004,0.853232227015511,-0.516089028343004,2.48181606305095
"AC103591.3",-1.04436876129713,-0.394335997441481,-0.0140029464617567,-1.29097114225355,-0.555820532340913,-0.504665584373017,1.26530773942572,0.75992757716166,0.92425151902152,-0.359456187358667,-0.739105627220605,1.95323994313822
"ACTB",0.436271310109947,-1.14808672147486,1.46907690591049,-1.14808672147486,-1.14808672147486,-0.457502167929926,1.45901554670543,0.171741886534855,0.4100225397365,-1.14808672147486,0.894146626107618,0.209574238724514
